지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
108,서울,2022-11-01 01:00,41
108,서울,2022-11-01 02:00,35
108,서울,2022-11-01 03:00,33
108,서울,2022-11-01 04:00,33
108,서울,2022-11-01 05:00,26
108,서울,2022-11-01 06:00,22
108,서울,2022-11-01 07:00,25
108,서울,2022-11-01 08:00,29
108,서울,2022-11-01 09:00,31
108,서울,2022-11-01 10:00,41
108,서울,2022-11-01 11:00,43
108,서울,2022-11-01 12:00,54
108,서울,2022-11-01 13:00,63
108,서울,2022-11-01 14:00,64
108,서울,2022-11-01 15:00,69
108,서울,2022-11-01 16:00,58
108,서울,2022-11-01 17:00,49
108,서울,2022-11-01 18:00,41
108,서울,2022-11-01 19:00,42
108,서울,2022-11-01 20:00,56
108,서울,2022-11-01 21:00,45
108,서울,2022-11-01 22:00,38
108,서울,2022-11-01 23:00,45
108,서울,2022-11-02 00:00,30
108,서울,2022-11-02 01:00,30
108,서울,2022-11-02 02:00,31
108,서울,2022-11-02 03:00,32
108,서울,2022-11-02 04:00,28
108,서울,2022-11-02 05:00,30
108,서울,2022-11-02 06:00,21
108,서울,2022-11-02 07:00,22
108,서울,2022-11-02 08:00,24
108,서울,2022-11-02 09:00,18
108,서울,2022-11-02 10:00,50
108,서울,2022-11-02 11:00,57
108,서울,2022-11-02 12:00,69
108,서울,2022-11-02 13:00,63
108,서울,2022-11-02 14:00,54
108,서울,2022-11-02 15:00,45
108,서울,2022-11-02 16:00,38
108,서울,2022-11-02 17:00,32
108,서울,2022-11-02 18:00,37
108,서울,2022-11-02 19:00,25
108,서울,2022-11-02 20:00,17
108,서울,2022-11-02 21:00,13
108,서울,2022-11-02 22:00,13
108,서울,2022-11-02 23:00,13
108,서울,2022-11-03 00:00,23
108,서울,2022-11-03 01:00,14
108,서울,2022-11-03 02:00,16
108,서울,2022-11-03 03:00,15
108,서울,2022-11-03 04:00,21
108,서울,2022-11-03 05:00,20
108,서울,2022-11-03 06:00,24
108,서울,2022-11-03 07:00,22
108,서울,2022-11-03 08:00,25
108,서울,2022-11-03 09:00,34
108,서울,2022-11-03 10:00,33
108,서울,2022-11-03 11:00,49
108,서울,2022-11-03 12:00,54
108,서울,2022-11-03 13:00,57
108,서울,2022-11-03 16:00,61
108,서울,2022-11-03 17:00,38
108,서울,2022-11-03 18:00,32
108,서울,2022-11-03 19:00,22
108,서울,2022-11-03 20:00,20
108,서울,2022-11-03 21:00,20
108,서울,2022-11-03 22:00,16
108,서울,2022-11-03 23:00,16
108,서울,2022-11-04 00:00,15
108,서울,2022-11-04 01:00,8
108,서울,2022-11-04 02:00,7
108,서울,2022-11-04 03:00,15
108,서울,2022-11-04 04:00,10
108,서울,2022-11-04 05:00,13
108,서울,2022-11-04 06:00,15
108,서울,2022-11-04 07:00,17
108,서울,2022-11-04 08:00,12
