지점,지점명,일시,기온(°C)
108,서울,2021-01-08 00:01,-15.9
108,서울,2021-01-08 00:02,-15.9
108,서울,2021-01-08 00:03,-15.9
108,서울,2021-01-08 00:04,-16
108,서울,2021-01-08 00:05,-16
108,서울,2021-01-08 00:06,-16
108,서울,2021-01-08 00:07,-16
108,서울,2021-01-08 00:08,-16
108,서울,2021-01-08 00:09,-16
108,서울,2021-01-08 00:10,-16
108,서울,2021-01-08 00:11,-16
108,서울,2021-01-08 00:12,-16
108,서울,2021-01-08 00:13,-16
108,서울,2021-01-08 00:14,-16
108,서울,2021-01-08 00:15,-16
108,서울,2021-01-08 00:16,-16
108,서울,2021-01-08 00:17,-16
108,서울,2021-01-08 00:18,-16
108,서울,2021-01-08 00:19,-16.1
108,서울,2021-01-08 00:20,-16.1
108,서울,2021-01-08 00:21,-16.1
108,서울,2021-01-08 00:22,-16.1
108,서울,2021-01-08 00:23,-16.1
108,서울,2021-01-08 00:24,-16.1
108,서울,2021-01-08 00:25,-16.2
108,서울,2021-01-08 00:26,-16.2
108,서울,2021-01-08 00:27,-16.2
108,서울,2021-01-08 00:28,-16.2
108,서울,2021-01-08 00:29,-16.2
108,서울,2021-01-08 00:30,-16.2
108,서울,2021-01-08 00:31,-16.2
108,서울,2021-01-08 00:32,-16.2
108,서울,2021-01-08 00:33,-16.2
108,서울,2021-01-08 00:34,-16.2
108,서울,2021-01-08 00:35,-16.2
108,서울,2021-01-08 00:36,-16.2
108,서울,2021-01-08 00:37,-16.2
108,서울,2021-01-08 00:38,-16.2
108,서울,2021-01-08 00:39,-16.2
108,서울,2021-01-08 00:40,-16.2
108,서울,2021-01-08 00:41,-16.2
108,서울,2021-01-08 00:42,-16.3
108,서울,2021-01-08 00:43,-16.3
108,서울,2021-01-08 00:44,-16.3
108,서울,2021-01-08 00:45,-16.3
108,서울,2021-01-08 00:46,-16.3
108,서울,2021-01-08 00:47,-16.3
108,서울,2021-01-08 00:48,-16.3
108,서울,2021-01-08 00:49,-16.3
108,서울,2021-01-08 00:50,-16.4
108,서울,2021-01-08 00:51,-16.4
108,서울,2021-01-08 00:52,-16.4
108,서울,2021-01-08 00:53,-16.4
108,서울,2021-01-08 00:54,-16.4
108,서울,2021-01-08 00:55,-16.5
108,서울,2021-01-08 00:56,-16.5
108,서울,2021-01-08 00:57,-16.5
108,서울,2021-01-08 00:58,-16.5
108,서울,2021-01-08 00:59,-16.5
108,서울,2021-01-08 01:00,-16.5
108,서울,2021-01-08 01:01,-16.5
108,서울,2021-01-08 01:02,-16.5
108,서울,2021-01-08 01:03,-16.5
108,서울,2021-01-08 01:04,-16.5
108,서울,2021-01-08 01:05,-16.5
108,서울,2021-01-08 01:06,-16.5
