지점,지점명,일시,기온(°C)
108,서울,21-1-8 0:01,-15.9
108,서울,21-1-8 0:02,-15.9
108,서울,21-1-8 0:03,-15.9
108,서울,21-1-8 0:04,-16
108,서울,21-1-8 0:05,-16
108,서울,21-1-8 0:06,-16
108,서울,21-1-8 0:07,-16
108,서울,21-1-8 0:08,-16
108,서울,21-1-8 0:09,-16
108,서울,21-1-8 0:10,-16
108,서울,21-1-8 0:11,-16
108,서울,21-1-8 0:12,-16
108,서울,21-1-8 0:13,-16
108,서울,21-1-8 0:14,-16
108,서울,21-1-8 0:15,-16
108,서울,21-1-8 0:16,-16
108,서울,21-1-8 0:17,-16
108,서울,21-1-8 0:18,-16
108,서울,21-1-8 0:19,-16.1
108,서울,21-1-8 0:20,-16.1
108,서울,21-1-8 0:21,-16.1
108,서울,21-1-8 0:22,-16.1
108,서울,21-1-8 0:23,-16.1
108,서울,21-1-8 0:24,-16.1
108,서울,21-1-8 0:25,-16.2
108,서울,21-1-8 0:26,-16.2
108,서울,21-1-8 0:27,-16.2
108,서울,21-1-8 0:28,-16.2
108,서울,21-1-8 0:29,-16.2
108,서울,21-1-8 0:30,-16.2
108,서울,21-1-8 0:31,-16.2
108,서울,21-1-8 0:32,-16.2
108,서울,21-1-8 0:33,-16.2
108,서울,21-1-8 0:34,-16.2
108,서울,21-1-8 0:35,-16.2
108,서울,21-1-8 0:36,-16.2
108,서울,21-1-8 0:37,-16.2
108,서울,21-1-8 0:38,-16.2
108,서울,21-1-8 0:39,-16.2
108,서울,21-1-8 0:40,-16.2
108,서울,21-1-8 0:41,-16.2
108,서울,21-1-8 0:42,-16.3
108,서울,21-1-8 0:43,-16.3
108,서울,21-1-8 0:44,-16.3
108,서울,21-1-8 0:45,-16.3
108,서울,21-1-8 0:46,-16.3
108,서울,21-1-8 0:47,-16.3
108,서울,21-1-8 0:48,-16.3
108,서울,21-1-8 0:49,-16.3
108,서울,21-1-8 0:50,-16.4
108,서울,21-1-8 0:51,-16.4
108,서울,21-1-8 0:52,-16.4
108,서울,21-1-8 0:53,-16.4
108,서울,21-1-8 0:54,-16.4
108,서울,21-1-8 0:55,-16.5
108,서울,21-1-8 0:56,-16.5
108,서울,21-1-8 0:57,-16.5
108,서울,21-1-8 0:58,-16.5
108,서울,21-1-8 0:59,-16.5
108,서울,21-1-8 1:00,-16.5
108,서울,21-1-8 1:01,-16.5
108,서울,21-1-8 1:02,-16.5
108,서울,21-1-8 1:03,-16.5
108,서울,21-1-8 1:04,-16.5
108,서울,21-1-8 1:05,-16.5
108,서울,21-1-8 1:06,-16.5
108,서울,21-1-8 1:07,-16.4
108,서울,21-1-8 1:08,-16.4
108,서울,21-1-8 1:09,-16.5
108,서울,21-1-8 1:10,-16.5
108,서울,21-1-8 1:11,-16.5
108,서울,21-1-8 1:12,-16.5
108,서울,21-1-8 1:13,-16.5
108,서울,21-1-8 1:14,-16.5
108,서울,21-1-8 1:15,-16.5
108,서울,21-1-8 1:16,-16.5
108,서울,21-1-8 1:17,-16.5
108,서울,21-1-8 1:18,-16.6
108,서울,21-1-8 1:19,-16.6
108,서울,21-1-8 1:20,-16.6
108,서울,21-1-8 1:21,-16.6
108,서울,21-1-8 1:22,-16.6
108,서울,21-1-8 1:23,-16.6
108,서울,21-1-8 1:24,-16.6
108,서울,21-1-8 1:25,-16.6
108,서울,21-1-8 1:26,-16.6
108,서울,21-1-8 1:27,-16.6
108,서울,21-1-8 1:28,-16.6
108,서울,21-1-8 1:29,-16.7
108,서울,21-1-8 1:30,-16.7
108,서울,21-1-8 1:31,-16.7
108,서울,21-1-8 1:32,-16.7
108,서울,21-1-8 1:33,-16.7
108,서울,21-1-8 1:34,-16.7
108,서울,21-1-8 1:35,-16.8
108,서울,21-1-8 1:36,-16.8
108,서울,21-1-8 1:37,-16.8
108,서울,21-1-8 1:38,-16.8
108,서울,21-1-8 1:39,-16.8
108,서울,21-1-8 1:40,-16.8
108,서울,21-1-8 1:41,-16.8
108,서울,21-1-8 1:42,-16.8
108,서울,21-1-8 1:43,-16.8
108,서울,21-1-8 1:44,-16.8
108,서울,21-1-8 1:45,-16.8
108,서울,21-1-8 1:46,-16.8
108,서울,21-1-8 1:47,-16.8
108,서울,21-1-8 1:48,-16.8
108,서울,21-1-8 1:49,-16.8
108,서울,21-1-8 1:50,-16.8
108,서울,21-1-8 1:51,-16.8
108,서울,21-1-8 1:52,-16.8
108,서울,21-1-8 1:53,-16.8
108,서울,21-1-8 1:54,-16.8
108,서울,21-1-8 1:55,-16.8
108,서울,21-1-8 1:56,-16.8
108,서울,21-1-8 1:57,-16.8
108,서울,21-1-8 1:58,-16.8
108,서울,21-1-8 1:59,-16.8
108,서울,21-1-8 2:00,-16.9
108,서울,21-1-8 2:01,-16.9
108,서울,21-1-8 2:02,-16.9
108,서울,21-1-8 2:03,-16.9
108,서울,21-1-8 2:04,-16.9
108,서울,21-1-8 2:05,-16.9
108,서울,21-1-8 2:06,-16.9
108,서울,21-1-8 2:07,-16.8
108,서울,21-1-8 2:08,-16.8
108,서울,21-1-8 2:09,-16.8
108,서울,21-1-8 2:10,-16.8
108,서울,21-1-8 2:11,-16.9
108,서울,21-1-8 2:12,-16.9
108,서울,21-1-8 2:13,-16.9
108,서울,21-1-8 2:14,-16.9
108,서울,21-1-8 2:15,-17
108,서울,21-1-8 2:16,-17
108,서울,21-1-8 2:17,-17
108,서울,21-1-8 2:18,-17
108,서울,21-1-8 2:19,-17
108,서울,21-1-8 2:20,-17
108,서울,21-1-8 2:21,-17
108,서울,21-1-8 2:22,-17
108,서울,21-1-8 2:23,-17
108,서울,21-1-8 2:24,-17
108,서울,21-1-8 2:25,-17
108,서울,21-1-8 2:26,-17
108,서울,21-1-8 2:27,-17
108,서울,21-1-8 2:28,-17
108,서울,21-1-8 2:29,-17.1
108,서울,21-1-8 2:30,-17.1
108,서울,21-1-8 2:31,-17.1
108,서울,21-1-8 2:32,-17.1
108,서울,21-1-8 2:33,-17.1
108,서울,21-1-8 2:34,-17.1
108,서울,21-1-8 2:35,-17.1
108,서울,21-1-8 2:36,-17.1
108,서울,21-1-8 2:37,-17.1
108,서울,21-1-8 2:38,-17.1
108,서울,21-1-8 2:39,-17.1
108,서울,21-1-8 2:40,-17.2
108,서울,21-1-8 2:41,-17.2
108,서울,21-1-8 2:42,-17.2
108,서울,21-1-8 2:43,-17.2
108,서울,21-1-8 2:44,-17.1
108,서울,21-1-8 2:45,-17.1
108,서울,21-1-8 2:46,-17.2
108,서울,21-1-8 2:47,-17.1
108,서울,21-1-8 2:48,-17.1
108,서울,21-1-8 2:49,-17.1
108,서울,21-1-8 2:50,-17.1
108,서울,21-1-8 2:51,-17.1
108,서울,21-1-8 2:52,-17.1
108,서울,21-1-8 2:53,-17.2
108,서울,21-1-8 2:54,-17.2
108,서울,21-1-8 2:55,-17.2
108,서울,21-1-8 2:56,-17.2
108,서울,21-1-8 2:57,-17.2
108,서울,21-1-8 2:58,-17.2
108,서울,21-1-8 2:59,-17.2
108,서울,21-1-8 3:00,-17.2
108,서울,21-1-8 3:01,-17.2
108,서울,21-1-8 3:02,-17.2
108,서울,21-1-8 3:03,-17.2
108,서울,21-1-8 3:04,-17.2
108,서울,21-1-8 3:05,-17.2
108,서울,21-1-8 3:06,-17.3
108,서울,21-1-8 3:07,-17.3
108,서울,21-1-8 3:08,-17.3
108,서울,21-1-8 3:09,-17.3
108,서울,21-1-8 3:11,-17.3
108,서울,21-1-8 3:12,-17.3
108,서울,21-1-8 3:13,-17.3
108,서울,21-1-8 3:14,-17.3
108,서울,21-1-8 3:15,-17.3
108,서울,21-1-8 3:16,-17.3
108,서울,21-1-8 3:17,-17.3
108,서울,21-1-8 3:18,-17.3
108,서울,21-1-8 3:19,-17.3
108,서울,21-1-8 3:20,-17.3
108,서울,21-1-8 3:21,-17.3
108,서울,21-1-8 3:22,-17.3
108,서울,21-1-8 3:23,-17.4
108,서울,21-1-8 3:24,-17.4
108,서울,21-1-8 3:25,-17.4
108,서울,21-1-8 3:26,-17.4
108,서울,21-1-8 3:27,-17.4
108,서울,21-1-8 3:28,-17.4
108,서울,21-1-8 3:29,-17.4
108,서울,21-1-8 3:30,-17.4
108,서울,21-1-8 3:31,-17.4
108,서울,21-1-8 3:32,-17.4
108,서울,21-1-8 3:33,-17.4
108,서울,21-1-8 3:34,-17.4
108,서울,21-1-8 3:35,-17.4
108,서울,21-1-8 3:36,-17.4
108,서울,21-1-8 3:37,-17.4
108,서울,21-1-8 3:38,-17.4
108,서울,21-1-8 3:39,-17.4
108,서울,21-1-8 3:40,-17.4
108,서울,21-1-8 3:41,-17.4
108,서울,21-1-8 3:42,-17.4
108,서울,21-1-8 3:43,-17.4
108,서울,21-1-8 3:44,-17.4
108,서울,21-1-8 3:45,-17.4
108,서울,21-1-8 3:46,-17.4
108,서울,21-1-8 3:47,-17.4
108,서울,21-1-8 3:48,-17.5
108,서울,21-1-8 3:49,-17.5
108,서울,21-1-8 3:50,-17.5
108,서울,21-1-8 3:51,-17.5
108,서울,21-1-8 3:52,-17.5
108,서울,21-1-8 3:53,-17.5
108,서울,21-1-8 3:54,-17.5
108,서울,21-1-8 3:55,-17.5
108,서울,21-1-8 3:56,-17.6
108,서울,21-1-8 3:57,-17.5
108,서울,21-1-8 3:58,-17.5
108,서울,21-1-8 3:59,-17.5
108,서울,21-1-8 4:00,-17.5
108,서울,21-1-8 4:01,-17.5
108,서울,21-1-8 4:02,-17.5
108,서울,21-1-8 4:03,-17.5
108,서울,21-1-8 4:04,-17.5
108,서울,21-1-8 4:05,-17.6
108,서울,21-1-8 4:06,-17.6
108,서울,21-1-8 4:07,-17.6
108,서울,21-1-8 4:08,-17.6
108,서울,21-1-8 4:09,-17.6
108,서울,21-1-8 4:10,-17.6
108,서울,21-1-8 4:11,-17.6
108,서울,21-1-8 4:12,-17.6
108,서울,21-1-8 4:13,-17.6
108,서울,21-1-8 4:14,-17.6
108,서울,21-1-8 4:15,-17.6
108,서울,21-1-8 4:16,-17.6
108,서울,21-1-8 4:17,-17.6
108,서울,21-1-8 4:18,-17.6
108,서울,21-1-8 4:19,-17.6
