지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
108,서울,2013-01-01,41
108,서울,2013-01-02,22
108,서울,2013-01-03,31
108,서울,2013-01-04,40
108,서울,2013-01-05,56
108,서울,2013-01-06,90
108,서울,2013-01-07,67
108,서울,2013-01-08,63
108,서울,2013-01-09,33
108,서울,2013-01-10,37
108,서울,2013-01-11,50
108,서울,2013-01-12,108
108,서울,2013-01-13,145
108,서울,2013-01-14,111
108,서울,2013-01-15,113
108,서울,2013-01-16,87
108,서울,2013-01-17,111
108,서울,2013-01-18,52
108,서울,2013-01-19,76
108,서울,2013-01-20,103
108,서울,2013-01-21,30
108,서울,2013-01-22,12
108,서울,2013-01-23,31
108,서울,2013-01-24,61
108,서울,2013-01-25,29
108,서울,2013-01-26,30
108,서울,2013-01-27,31
108,서울,2013-01-28,49
108,서울,2013-01-29,63
108,서울,2013-01-30,70
108,서울,2013-01-31,71
108,서울,2013-02-01,33
108,서울,2013-02-02,35
108,서울,2013-02-03,25
108,서울,2013-02-04,29
108,서울,2013-02-05,50
108,서울,2013-02-06,48
108,서울,2013-02-07,38
108,서울,2013-02-08,39
108,서울,2013-02-09,44
108,서울,2013-02-10,46
108,서울,2013-02-11,29
108,서울,2013-02-12,35
108,서울,2013-02-13,48
108,서울,2013-02-14,67
108,서울,2013-02-15,51
108,서울,2013-02-16,35
108,서울,2013-02-17,41
108,서울,2013-02-18,47
108,서울,2013-02-19,32
108,서울,2013-02-20,32
108,서울,2013-02-21,35
108,서울,2013-02-22,57
108,서울,2013-02-23,38
108,서울,2013-02-24,44
108,서울,2013-02-25,42
108,서울,2013-02-26,54
108,서울,2013-02-27,70
108,서울,2013-02-28,80
108,서울,2013-03-01,53
108,서울,2013-03-02,35
108,서울,2013-03-03,37
108,서울,2013-03-04,72
108,서울,2013-03-05,86
108,서울,2013-03-06,78
108,서울,2013-03-07,134
108,서울,2013-03-08,139
108,서울,2013-03-09,147
108,서울,2013-03-10,47
108,서울,2013-03-11,44
108,서울,2013-03-12,55
108,서울,2013-03-13,25
108,서울,2013-03-14,22
108,서울,2013-03-15,44
108,서울,2013-03-16,36
108,서울,2013-03-17,45
108,서울,2013-03-18,26
108,서울,2013-03-19,48
108,서울,2013-03-20,29
108,서울,2013-03-21,43
108,서울,2013-03-22,45
108,서울,2013-03-23,60
108,서울,2013-03-24,45
108,서울,2013-03-26,46
108,서울,2013-03-27,39
108,서울,2013-03-28,39
108,서울,2013-03-29,43
108,서울,2013-03-30,44
108,서울,2013-03-31,44
108,서울,2013-04-01,64
108,서울,2013-04-02,33
108,서울,2013-04-03,58
108,서울,2013-04-04,117
108,서울,2013-04-05,148
108,서울,2013-04-07,19
108,서울,2013-04-08,46
108,서울,2013-04-09,62
108,서울,2013-04-10,29
108,서울,2013-04-11,39
108,서울,2013-04-12,32
108,서울,2013-04-13,48
108,서울,2013-04-14,64
108,서울,2013-04-15,54
108,서울,2013-04-16,59
108,서울,2013-04-17,43
108,서울,2013-04-18,56
108,서울,2013-04-19,37
108,서울,2013-04-20,31
108,서울,2013-04-21,64
108,서울,2013-04-22,66
108,서울,2013-04-23,48
108,서울,2013-04-24,40
108,서울,2013-04-25,61
108,서울,2013-04-26,47
108,서울,2013-04-27,51
108,서울,2013-04-28,37
108,서울,2013-04-29,43
108,서울,2013-04-30,58
108,서울,2013-05-01,42
108,서울,2013-05-02,36
108,서울,2013-05-03,45
108,서울,2013-05-04,64
108,서울,2013-05-05,52
108,서울,2013-05-06,52
108,서울,2013-05-07,68
108,서울,2013-05-08,58
108,서울,2013-05-09,63
108,서울,2013-05-10,36
108,서울,2013-05-11,76
108,서울,2013-05-12,106
108,서울,2013-05-13,75
108,서울,2013-05-14,54
108,서울,2013-05-15,57
108,서울,2013-05-16,20
108,서울,2013-05-17,26
108,서울,2013-05-18,42
108,서울,2013-05-19,16
108,서울,2013-05-20,42
108,서울,2013-05-21,47
108,서울,2013-05-22,64
108,서울,2013-05-23,103
108,서울,2013-05-24,95
108,서울,2013-05-25,90
108,서울,2013-05-26,88
108,서울,2013-05-27,58
108,서울,2013-05-28,15
108,서울,2013-05-29,36
108,서울,2013-05-30,74
108,서울,2013-05-31,65
108,서울,2013-06-01,60
108,서울,2013-06-02,52
108,서울,2013-06-03,55
108,서울,2013-06-04,37
108,서울,2013-06-05,44
108,서울,2013-06-06,38
108,서울,2013-06-07,43
108,서울,2013-06-08,55
108,서울,2013-06-09,39
108,서울,2013-06-11,24
108,서울,2013-06-12,13
108,서울,2013-06-13,46
108,서울,2013-06-14,58
108,서울,2013-06-15,38
108,서울,2013-06-16,30
108,서울,2013-06-17,31
108,서울,2013-06-18,27
108,서울,2013-06-19,40
108,서울,2013-06-20,51
108,서울,2013-06-21,48
108,서울,2013-06-22,56
108,서울,2013-06-23,44
108,서울,2013-06-24,53
108,서울,2013-06-25,54
108,서울,2013-06-26,49
108,서울,2013-06-27,42
108,서울,2013-06-28,45
108,서울,2013-06-29,40
108,서울,2013-06-30,52
108,서울,2013-07-04,50
108,서울,2013-07-05,43
108,서울,2013-07-06,58
108,서울,2013-07-07,48
108,서울,2013-07-09,37
108,서울,2013-07-10,45
108,서울,2013-07-11,34
108,서울,2013-07-12,30
108,서울,2013-07-20,23
108,서울,2013-07-21,27
108,서울,2013-07-22,31
108,서울,2013-07-23,33
108,서울,2013-07-24,39
108,서울,2013-07-25,83
108,서울,2013-07-26,95
108,서울,2013-07-27,51
108,서울,2013-07-28,40
108,서울,2013-07-29,61
108,서울,2013-07-30,41
108,서울,2013-07-31,41
108,서울,2013-08-01,36
108,서울,2013-08-02,34
108,서울,2013-08-03,21
108,서울,2013-08-04,40
108,서울,2013-08-07,42
108,서울,2013-08-08,52
108,서울,2013-08-09,79
108,서울,2013-08-10,75
108,서울,2013-08-11,49
108,서울,2013-08-12,32
108,서울,2013-08-13,22
108,서울,2013-08-17,31
108,서울,2013-08-18,45
108,서울,2013-08-19,38
108,서울,2013-08-20,38
108,서울,2013-08-21,47
108,서울,2013-08-24,36
108,서울,2013-08-25,33
108,서울,2013-08-26,31
