name,시장유형,소재지도로명주소,시장개설주기,lat,long,점포수,,,,,,,
용궁시장,상설장+5일장,경상북도 예천군 용궁면 용궁시장길 9,4일+9일,36.607018,128.275372,30,,,,,,,
풍양시장,5일장,경상북도 예천군 풍양면 낙상2길 37-13,3일+8일,36.509273,128.299805,48,,,,,,,
울진바지게시장,상설장+5일장,경상북도 울진군 울진읍 읍내2길 13-6,2일+7일,36.991629,129.4020697,252,,,,,,,
죽변시장,상설장+5일장,경상북도 울진군 죽변면 죽변중앙로 168-14,3일+8일,37.058968,129.422254,64,,,,,,,
평해시장,상설장+5일장,경상북도 울진군 평해읍 평해6길 12,2일+7일,36.726945,129.442436,29,,,,,,,
후포시장,상설장+5일장,경상북도 울진군 후포면 울진대게로 21,3일+8일,36.677876,129.444227,124,,,,,,,
금성시장,5일장,경상북도 의성군 금성면 탑리길 56-1,1일+6일,36.256177,128.681416,61,,,,,,,
단촌정기시장,5일장,경상북도 의성군 단촌면 장터길 15,5일+10일,36.422542,128.673901,61,,,,,,,
봉양시장,5일장,경상북도 의성군 봉양면 도리원6길 9-1,4일+9일,36.299261,128.581592,44,,,,,,,
안계공설시장,상설장+5일장,경상북도 의성군 안계면 안계시장길 14-11,1일+6일,36.384424,128.438345,117,,,,,,,
의성공설재래시장,상설장+5일장,경상북도 의성군 의성읍 전통시장1길 12-8,2일+7일,36.345113,128.6998499,92,,,,,,,
의성염매시장,상설장,경상북도 의성군 의성읍 염매시장길 5,매일,36.350235,128.695609,37,,,,,,,
동곡공설시장,5일장,경상북도 청도군 금천면 금천로 41-2,1일+6일,35.692062,128.891077,63,,,,,,,
이서공설시장,5일장,경상북도 청도군 이서면 학산1길 51,3일+8일,35.662707,128.666433,17,,,,,,,
청도공설시장,5일장,경상북도 청도군 청도읍 청화로 175,4일+9일,35.642866,128.744445,189,,,,,,,
풍각공설시장,5일장,경상북도 청도군 풍각면 송서7길 10,1일+6일,35.640775,128.617693,67,,,,,,,
도평시장,상설장+5일장,경상북도 청송군 현동면 도평2길 21,5일+10일,36.290109,129.0170801,26,,,,,,,
부남시장,5일장,경상북도 청송군 부남면 대전로 142,3일+8일,36.346506,129.064442,57,,,,,,,
진보시장,상설장+5일장,경상북도 청송군 진보면 진안남2길 9-1,3일+8일,36.528337,129.046406,110,,,,,,,
청송시장,상설장+5일장,경상북도 청송군 청송읍 현충로 106,4일+9일,36.435147,129.0521199,8,,,,,,,
화목시장,5일장,경상북도 청송군 현서면 구산북로 57-1,1일+6일,36.27540013,128.8973097,20,,,,,,,
안덕시장,상설장+5일장,경상북도 청송군 안덕면 명당2길 2,4일+9일,36.288065,128.957951,13,,,,,,,
왜관시장,상설장+5일장,경상북도 칠곡군 왜관읍 시장2길 9,1일+6일,35.995151,128.398256,132,,,,,,,
구룡포시장,상설장+5일장,경상북도 포항시 남구 구룡포읍 구룡포길 72-1,3일+8일,35.990315,129.554001,125,,,,,,,
그린종합시장,상설장,경상북도 포항시 북구 용두산길 39,매일,36.067294,129.3809605,31,,,,,,,
기계시장,5일장,경상북도 포항시 북구 기계면 새마을발상지길 7,1일+6일,36.069961,129.204502,27,,,,,,,
남부시장,상설장,경상북도 포항시 남구 상공로 43,매일,36.012627,129.356143,52,,,,,,,
용상공설시장,상설장,경상북도 안동시 경동로 862,매일,36.559471,128.750164,69,,,,,,,
중앙신시장,상설장+5일장,경상북도 안동시 대안로 98-15,2일+7일,36.565117,128.724162,450,,,,,,,
풍산공설시장,5일장,경상북도 안동시 풍산읍 하리들길 7-1,3일+8일,36.577209,128.576575,53,,,,,,,
북문시장,상설장+5일장,경상북도 안동시 북문옥정길 25,2일+7일,36.568524,128.732614,84,,,,,,,
